1. Êtes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans)?;4
2. L'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familial?;1
3. Une initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette proposition?;1
4. Les rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion)?;4
5. Soutenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide sociale?;4
6. La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?;1
1. Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)? ;4
2. Approuveriez-vous le principe du consentement présumé pour le don d’organes?;1
3. Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?;1
4. Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?;1
5. Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?;4
1. L’État devrait-il davantage s’engager pour une égalité des chances en matière de formation (p. ex. par des cours de rattrapage subventionnés destinés aux élèves issus de familles à faible revenu)?;1
2. Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?;4
3. La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?;1
4. Le concept de l'école intégrative prévoit que les enfants ayant des difficultés d'apprentissage ou des handicaps soient scolarisé·e·s dans des classes ordinaires. Soutenez-vous cette approche?;2
1. Seriez-vous favorable à ce que le droit de vote et d'élection soit introduit au niveau communal pour les personnes étrangères qui résident en Suisse depuis au moins dix ans? ;1
2. La limitation de l'immigration a-t-elle pour vous la priorité sur le maintien des accords bilatéraux avec l'UE?;4
3. Les personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularisé?;1
4. Êtes-vous en faveur d'un durcissement supplémentaire du droit à l'asile?;4
5. Les conditions de naturalisation devraient-elles être revues à la hausse?;4
6. La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?;1
1. La consommation de cannabis devrait-elle être légalisée? ;1
2. Les couples de même sexe devraient-ils avoir les mêmes droits dans tous les domaines que les couples hétérosexuels?;1
3. La réglementation de la procréation médicalement assistée devrait-elle être assouplie?;1
4. Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?;1
5. Seriez-vous favorable à ce qu'un médecin soit autorisé à administrer l'euthanasie active directe en Suisse?;1
1. Selon vous, la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines années?;4
2. Êtes-vous en faveur d'une nouvelle réduction des contributions versées par les cantons financièrement forts aux cantons financièrement faibles dans le cadre de la péréquation financière?;3
3. Les couples mariés devraient-ils être imposés en tant que personnes individuelles (imposition individuelle)?;1
4. Êtes-vous en faveur d'une restriction de la concurrence entre les cantons en matière d'imposition des entreprises?;1
1. Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)? ;4
2. Êtes-vous favorable à l'introduction d'un salaire minimum de 4’000 CHF pour toutes les personnes salariées pour un poste à plein temps?;1
3. Les entreprises suisses devraient-elles être mieux être protégées du risque de rachat par des investisseurs étrangers en introduisant des contrôles sur les investissements? ;2
4. Seriez-vous favorable à une libéralisation complète des heures d'ouverture des magasins?;4
5. Faut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s? ;1
6. La Confédération devrait-elle davantage soutenir l'offre des services publics (p. ex. transports publics, poste) dans les régions rurales?;1
1. L'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre? ;3
